freq,gain,phase
0.1043081283569336,-23.839483986565043,-95.72974975985927
0.11920928955078125,-22.659263964983754,-96.26707677875072
0.11920928955078125,-22.693210373665064,-96.57832443320929
0.1341104507446289,-21.67660198830802,-96.85453640205536
0.16391277313232422,-19.991986965241278,-98.17839172736727
0.17881393432617188,-19.24979812793523,-98.73172900777236
0.19371509552001953,-18.551554456958684,-99.31194428337542
0.22351741790771484,-17.37902357943719,-100.56149481918311
0.25331974029541016,-16.339299086599354,-101.6947886406627
0.28312206268310547,-15.375814890485557,-102.92494240849972
0.3129243850708008,-14.54252770169013,-104.07986836062196
0.35762786865234375,-13.435475031213674,-105.84947438144147
0.4023313522338867,-12.497240961064197,-107.726168645501
0.4470348358154297,-11.678593573109449,-109.43227893715704
0.5066394805908203,-10.70653221008008,-111.75694907895206
0.5662441253662109,-9.86361271619414,-113.93757382750648
0.6258487701416016,-9.106234383323441,-116.23691541825443
0.7152557373046875,-8.145995454698978,-119.37202389464022
0.7897615432739258,-7.465456371915426,-121.9739654146076
0.8940696716308594,-6.647795120572967,-125.45283231355738
0.998377799987793,-5.954565625673815,-128.7909958327313
1.1175870895385742,-5.294340861766498,-132.35418256242522
1.2516975402832031,-4.689064476342091,-136.12059761482587
1.4156103134155273,-4.08463647889981,-140.3864508361602
1.5795230865478516,-3.5952551342907157,-144.4005522438627
1.773238182067871,-3.1503577825008113,-148.59687163542668
1.996755599975586,-2.7504229219637604,-153.06593810220932
2.2351741790771484,-2.417816558100036,-157.34217777194343
2.518296241760254,-2.1354801523687366,-161.9386699077472
2.816319465637207,-1.912878977126703,-166.29285955800873
3.159046173095703,-1.7305443956648907,-170.80623279040793
3.546476364135742,-1.583342237655451,-175.3253469605369
3.978610038757324,-1.4844512945370523,-179.9415714691326
4.470348358154297,-1.4237009821004152,175.3238238119414
5.0067901611328125,-1.4067878021542652,170.52270781368125
5.617737770080566,-1.418875974770304,165.60064896585874
6.303191184997559,-1.466946147463052,160.44516830198876
7.078051567077637,-1.5574654491283155,155.05424803595196
7.942318916320801,-1.6899527028735157,149.41549851948528
8.910894393920898,-1.8791193403580595,143.42274449460885
9.998679161071777,-2.115025211865921,137.13426866250884
11.220574378967285,-2.4147476553921488,130.47363292217042
12.59148120880127,-2.7774340253883696,123.37594371492042
14.126300811767578,-3.235421109416887,115.8989180675699
15.854835510253906,-3.7809178161299224,107.96752212160351
17.777085304260254,-4.418611526973674,99.7903352478162
19.95265483856201,-5.186255309665096,91.10666691265715
22.38154411315918,-6.0633390874967095,82.24104183364216
25.12335777282715,-7.098775970011117,72.97327987816304
28.178095817565918,-8.251535618565791,63.6039504654235
31.620264053344727,-9.55142498349087,54.10403512769141
35.47966480255127,-11.010669741494649,44.65350743068207
39.81590270996094,-12.603002109998037,35.15920514158476
44.67368125915527,-14.3618772050371,26.02801697347958
50.11260509490967,-16.272168172295075,16.932404026513698
56.236982345581055,-18.286280024371724,8.269320631230064
63.09151649475098,-20.38897146510116,-0.05323349560578878
70.79541683197021,-22.64509825160274,-7.723192488531298
79.43809032440186,-25.059297778152136,-15.648448764927824
89.12384510040283,-27.379505632438537,-22.86982843642635
100.00169277191162,-30.089080437332242,-27.81304117042161
112.20574378967285,-32.72329121562408,-35.257721873930805
125.89991092681885,-35.521939648381796,-42.1138389361758
141.24810695648193,-38.31861454258507,-45.86878335630752
158.48875045776367,-41.144679560211486,-51.90075945832146
177.83045768737793,-43.886243627265586,-56.11530204648672
199.52654838562012,-47.158883154483384,-64.3271683804934
223.8750457763672,-49.86518915412187,-68.7518884694095
251.18887424468994,-53.96785663074202,-73.47860809703364
281.84056282043457,-54.281054686811096,-67.26820283836064
316.23244285583496,-60.25683549428652,-95.61068835836767
354.81154918670654,-61.10594190888267,-129.1796399134213
398.11432361602783,-62.98572229583725,-124.89276886742763
446.67720794677734,-62.92550014058297,-125.82067506868863
501.18565559387207,-63.79873665143232,-131.73022363802068
562.3400211334229,-63.45976928748651,-133.56977799536017
630.9598684310913,-65.28732594860783,178.058501087328
707.9392671585083,-63.80508612086666,-159.52200795539622
794.3212985992432,-66.33045167952145,-94.3591540004674
891.2533521652222,-65.62590052436968,176.97837240148587
1000.0020265579224,-63.77437703530698,-135.23090132165237
1122.012734413147,-62.541423284373046,-169.80567882047393
1258.9246034622192,-59.40744088373685,-172.16589890445317
1412.5406742095947,-68.1811427042793,78.52653395462546
1584.8875045776367,-65.21189056730593,-163.00487463937174
1778.2747745513916,-61.98533982641793,173.16664963701413
1995.2654838562012,-64.89008765175805,-142.74171147876925
2238.720655441284,-69.10637312089312,-171.8608191894955
2511.8887424468994,-62.56637332773796,-158.44243623681766
2818.375825881958,-65.68084963456768,-163.1885479041469
3162.279725074768,-67.72910416989036,-63.614018446551746
3548.1303930282593,-62.69318866626933,-175.3650631413918
3981.068730354309,-56.95780026137031,-157.51278526744946
4466.831684112549,-61.07384708746614,158.56725369248417
5011.871457099915,-57.91440493485623,-129.8379909872783
5623.415112495422,-61.86496531797825,-136.064318135754
6309.568881988525,-59.02375997411795,-144.04361720767722
7079.452276229858,-59.089395127417035,-152.76109571112156
7943.287491798401,-59.20625205365863,176.13854228878594
8912.503719329834,-54.370948431885886,-129.28364378016153
10000.00536441803,-65.67006467829235,-100.55026873831564
